"Name","WAR","G...8","AB","R","H...11","HR...12","RBI","SB","BB...15","BA","OBP","SLG","OPS","W","L","ERA","WHIP","GS","SV","IP","H_A","HR_A","BB_A","SO_A","yearID","playerID","MVPCan"
"Ty Cobb",10.7,146,592,148,248,8,127,83,44,0.419,0.466,0.62,1.086,0,0,0,0,0,0,0,0,0,0,0,1911,"cobbty01","yes"
"Ed Walsh",9.1,63,155,22,34,0,9,0,1,0.219,0.229,0.239,0.468,27,18,2.22,1.082,37,4,368.2,327,4,72,255,1911,"walshed01","yes"
"Eddie Collins",6.6,132,493,92,180,3,73,38,62,0.365,0.451,0.481,0.932,0,0,0,0,0,0,0,0,0,0,0,1911,"collied01","yes"
"Shoeless Joe Jackson",9.2,147,571,126,233,7,83,41,56,0.408,0.468,0.59,1.058,0,0,0,0,0,0,0,0,0,0,0,1911,"jacksjo01","yes"
"Walter Johnson",8.8,42,128,18,30,1,15,1,0,0.234,0.234,0.344,0.578,25,13,1.9,1.123,37,1,322.1,292,8,70,207,1911,"johnswa01","yes"
"Birdie Cree",5.5,137,520,90,181,4,88,48,56,0.348,0.415,0.513,0.928,0,0,0,0,0,0,0,0,0,0,0,1911,"creebi01","yes"
"Tris Speaker",6.2,141,500,88,167,8,70,25,59,0.334,0.418,0.502,0.92,0,0,0,0,0,0,0,0,0,0,0,1911,"speaktr01","yes"
"Ira Thomas",3.1,103,297,33,81,0,39,4,23,0.273,0.341,0.34,0.682,0,0,0,0,0,0,0,0,0,0,0,1911,"thomair01","yes"
"Clyde Milan",4.9,154,616,109,194,3,35,58,74,0.315,0.395,0.394,0.789,0,0,0,0,0,0,0,0,0,0,0,1911,"milancl01","yes"
"Vean Gregg",8.5,34,85,5,14,0,4,0,2,0.165,0.184,0.188,0.372,23,7,1.8,1.054,26,0,244.2,172,2,86,125,1911,"greggve01","yes"
"Home Run Baker",6.4,148,592,96,198,11,115,38,40,0.334,0.379,0.508,0.887,0,0,0,0,0,0,0,0,0,0,0,1911,"bakerfr01","yes"
"Jack Coombs",3.8,52,141,31,45,2,23,5,8,0.319,0.356,0.418,0.774,28,12,3.53,1.423,40,2,336.2,360,8,119,185,1911,"coombja01","yes"
"Nap Lajoie",2.7,90,315,36,115,2,60,13,26,0.365,0.42,0.454,0.874,0,0,0,0,0,0,0,0,0,0,0,1911,"lajoina01","yes"
"Donie Bush",1.7,150,561,126,130,1,36,40,98,0.232,0.349,0.287,0.636,0,0,0,0,0,0,0,0,0,0,0,1911,"bushdo01","yes"
"Sam Crawford",5.7,146,574,109,217,7,115,37,61,0.378,0.438,0.526,0.964,0,0,0,0,0,0,0,0,0,0,0,1911,"crawfsa01","yes"
