"Rank","Name","Tm","Vote Pts","1st Place","Share","WAR","G","AB","R","H","HR","RBI","SB","BB","BA","OBP","SLG","OPS","W","L","ERA","WHIP","G","GS","SV","IP","H","HR","BB","SO","Year"
"1","Frank Schulte","CHC","29.0","","45%","5.2","154","577","105","173","21","107","23","76",".300",".384",".534",".918","","","","","","","","","","","","",1911
"2","Christy Mathewson","NYG","25.0","","39%","7.8","45","112","12","22","0","12","2","5",".196",".237",".214",".452","26","13","1.99","1.111","45","37","3","307.0","303","5","38","141",1911
"3","Pete Alexander","PHI","23.0","","36%","7.7","50","138","12","24","0","9","1","2",".174",".186",".225",".410","28","13","2.57","1.128","48","37","3","367.0","285","5","129","227",1911
"3","Larry Doyle","NYG","23.0","","36%","5.2","143","526","102","163","13","77","38","71",".310",".397",".527",".924","","","","","","","","","","","","",1911
"3","Honus Wagner","PIT","23.0","","36%","6.6","130","473","87","158","9","89","20","67",".334",".423",".507",".930","","","","","","","","","","","","",1911
"6","Miller Huggins","STL","21.0","","33%","3.7","138","509","106","133","1","24","37","96",".261",".385",".312",".697","","","","","","","","","","","","",1911
"7","Rube Marquard","NYG","19.0","","30%","6.1","45","104","9","17","1","10","0","2",".163",".187",".240",".427","24","7","2.50","1.178","45","33","3","277.2","221","9","106","237",1911
"7","Fred Merkle","NYG","19.0","","30%","3.7","149","541","80","153","12","84","49","43",".283",".342",".431",".773","","","","","","","","","","","","",1911
"9","Jake Daubert","BRO","16.0","","25%","3.5","149","573","89","176","5","45","32","51",".307",".366",".391",".757","","","","","","","","","","","","",1911
"10","Jack Meyers","NYG","11.0","","17%","3.0","133","391","48","130","1","61","7","25",".332",".392",".432",".824","","","","","","","","","","","","",1911
"10","Joe Tinker","CHC","11.0","","17%","4.4","144","536","61","149","4","69","30","39",".278",".327",".390",".717","","","","","","","","","","","","",1911
"12","Mike Mitchell","CIN","9.0","","14%","3.2","142","529","74","154","2","84","35","44",".291",".348",".427",".775","","","","","","","","","","","","",1911
"12","Jimmy Sheckard","CHC","9.0","0.0","14%","5.0","156","539","121","149","4","50","32","147",".276",".434",".388",".822","","","","","","","","","","","","",1911
"14","Mickey Doolin","PHI","6.0","0.0","9%","1.7","146","512","51","122","1","49","14","44",".238",".301",".313",".614","","","","","","","","","","","","",1911
"14","Bob Harmon","STL","6.0","0.0","9%","3.3","51","111","7","17","0","3","2","11",".153",".236",".207",".443","23","16","3.13","1.353","51","41","4","348.0","290","10","181","144",1911
"16","Jimmy Archer","CHC","5.0","0.0","8%","1.7","116","387","41","98","4","41","5","18",".253",".288",".357",".645","","","","","","","","","","","","",1911
"17","Bob Bescher","CIN","4.0","0.0","6%","2.9","153","599","106","165","1","45","81","102",".275",".385",".367",".753","","","","","","","","","","","","",1911
"17","Mordecai Brown","CHC","4.0","0.0","6%","4.1","53","91","8","23","0","6","0","6",".253",".299",".319",".618","21","11","2.80","1.193","53","27","13","270.0","267","5","55","129",1911
"17","George Gibson","PIT","4.0","0.0","6%","0.2","100","311","32","65","0","19","3","29",".209",".281",".260",".541","","","","","","","","","","","","",1911
"17","Hans Lobert","PHI","4.0","0.0","6%","3.2","147","541","94","154","9","72","40","66",".285",".368",".405",".772","","","","","","","","","","","","",1911
"21","Bill Sweeney","BSN","3.0","0.0","5%","2.3","137","523","92","164","3","63","33","77",".314",".404",".417",".820","","","","","","","","","","","","",1911
"22","Josh Devore","NYG","2.0","0.0","3%","2.0","149","565","96","158","3","50","61","81",".280",".376",".365",".740","","","","","","","","","","","","",1911
"22","Dick Hoblitzell","CIN","2.0","0.0","3%","2.7","158","622","81","180","11","91","32","42",".289",".342",".415",".757","","","","","","","","","","","","",1911
"22","Otto Knabe","PHI","2.0","0.0","3%","1.4","142","528","99","125","1","42","23","94",".237",".352",".294",".646","","","","","","","","","","","","",1911
"22","Ed Konetchy","STL","2.0","0.0","3%","5.2","158","571","90","165","6","88","27","81",".289",".384",".433",".816","","","","","","","","","","","","",1911
"22","Jimmy Walsh","PHI","2.0","0.0","3%","-0.1","94","289","29","78","1","31","5","21",".270",".324",".370",".694","0","1","13.50","3.000","1","0","0","2.2","7","1","1","1",1911
"27","Babe Adams","PIT","1.0","0.0","2%","6.7","40","103","9","26","0","10","0","3",".252",".274",".320",".594","22","12","2.33","1.006","40","37","0","293.1","253","5","42","133",1911
"27","Johnny Kling","TOT","1.0","0.0","2%","0.0","102","321","40","68","3","29","1","38",".212",".295",".293",".588","","","","","","","","","","","","",1911
"27","Fred Luderus","PHI","1.0","0.0","2%","3.5","146","551","69","166","16","99","6","40",".301",".353",".472",".825","","","","","","","","","","","","",1911
"27","Nap Rucker","BRO","1.0","0.0","2%","8.7","48","104","6","21","1","9","0","3",".202",".224",".288",".513","22","18","2.71","1.156","48","33","4","315.2","255","12","110","190",1911
"1","Larry Doyle","NYG","48.0","","75%","5.0","143","558","98","184","10","91","36","56",".330",".393",".471",".864","","","","","","","","","","","","",1912
"2","Honus Wagner","PIT","43.0","","67%","8.0","145","558","91","181","7","101","26","59",".324",".395",".496",".891","","","","","","","","","","","","",1912
"3","Jack Meyers","NYG","25.0","","39%","4.4","126","371","60","133","6","60","8","47",".358",".441",".477",".918","","","","","","","","","","","","",1912
