"Rk","Name","Age","Tm","Lg","G","PA","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS+","TB","GDP","HBP","SH","SF","IBB","Pos Summary"
"1","CJ Abrams*","21","TOT","NL","77","254","236","27","54","9","2","2","19","3","4","5","45",".229",".270",".309",".579","68","73","5","9","2","2","0","64/H9D"
"2","CJ Abrams*","21","SDP","NL","46","139","125","16","29","5","0","2","11","1","2","4","27",".232",".285",".320",".605","76","40","4","6","2","2","0","64/H9D"
"3","CJ Abrams*","21","WSN","NL","31","115","111","11","25","4","2","0","8","2","2","1","18",".225",".252",".297",".549","59","33","1","3","0","0","0","6/H"
"4","Albert Abreu","26","TOT","AL","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0","1"
"5","Albert Abreu","26","KCR","AL","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0","/1"
"6","JosÃ© Abreu","35","CHW","AL","146","635","561","83","173","35","0","15","72","0","0","60","106",".308",".383",".451",".834","136","253","16","10","0","4","2","*3D"
"7","Ronald Acuna Jr.","24","ATL","NL","109","490","428","65","115","24","0","13","45","28","11","49","115",".269",".355",".416",".771","114","178","8","10","0","3","2","9D/H8"
"8","Willy Adames","26","MIL","NL","126","558","506","80","123","30","0","30","94","7","2","47","146",".243",".306",".480",".787","119","243","11","1","0","4","2","*6/DH"
"9","Riley Adams","26","WSN","NL","40","130","119","12","23","4","0","4","8","0","1","10","36",".193",".262",".328",".589","70","39","2","1","0","0","0","2/HD3"
"10","Jo Adell","23","LAA","AL","77","248","233","19","52","11","1","7","22","4","2","10","92",".223",".263",".369",".632","77","86","6","3","0","1","0","79H/D"
"11","Ehire Adrianza#","32","TOT","NL","36","105","92","8","16","3","0","0","7","1","0","11","24",".174",".267",".207",".473","40","19","2","1","0","1","0","5/74H6D1"
"12","Ehire Adrianza#","32","WSN","NL","31","94","84","5","15","2","0","0","7","1","0","8","22",".179",".255",".202",".458","36","17","2","1","0","1","0","5/7H46D1"
"13","Ehire Adrianza#","32","ATL","NL","5","11","8","3","1","1","0","0","0","0","0","3","2",".125",".364",".250",".614","76","2","0","0","0","0","0","/46"
"14","Jesus Aguilar","32","TOT","MLB","124","493","450","38","104","18","0","16","51","1","0","28","116",".231",".279",".378",".657","84","170","8","4","0","5","1","3D/H5"
"15","Jesus Aguilar","32","MIA","NL","113","456","415","37","98","18","0","15","49","1","0","27","106",".236",".286",".388",".674","89","161","8","4","0","5","1","3D/H5"
"16","Jesus Aguilar","32","BAL","AL","11","37","35","1","6","0","0","1","2","0","0","1","10",".171",".194",".257",".452","27","9","0","0","0","0","0","/D3H"
