"Rk","Name","Age","Tm","G","PA","Rbat","Rbaser","Rdp","Rfield","Rpos","RAA","WAA","Rrep","RAR","WAR","waaWL%","162WL%","oWAR","dWAR","oRAR","Salary","Acquired","Pos Summary"
"1","CJ Abrams*","21","2TM","77","254","-10","-1","0","-2","4","-9","-0.9","9","-1","-0.1",".487",".497","0.1","0.2","1","","Amateur Draft","64/H9D"
"2","Albert Abreu","26","KCR","1","0","0","0","0","0","0","0","0.0","0","0","0.0",".500",".500","0.0","0.0","0","","Traded","1"
"3","JosÃ© Abreu","35","CHW","146","635","28","1","-1","1","-8","20","2.2","21","41","4.2",".515",".513","4.2","-0.8","40","$19,666,667","Free Agency","*3D"
"4","Ronald Acuna Jr.","24","ATL","109","490","10","4","-1","-1","-5","7","0.8","16","23","2.3",".507",".505","2.4","-0.6","24","$15,000,000","Amateur Free Agent","9D/H8"
"5","Willy Adames","26","MIL","126","558","11","-1","0","8","7","26","2.8","18","44","4.5",".522",".517","3.6","1.7","36","$4,600,000","Traded","*6/DH"
"6","Riley Adams","26","WSN","40","130","-4","-1","0","1","2","-2","-0.2","4","3","0.3",".495",".499","0.1","0.4","2","","Traded","2/HD3"
"7","Jo Adell","23","LAA","77","248","-7","-1","-1","0","-3","-11","-1.2","8","-3","-0.4",".484",".492","-0.4","-0.3","-3","","Amateur Draft","79H/D"
"8","Ehire Adrianza#","32","2TM","36","105","-7","0","1","-1","0","-7","-0.7","4","-4","-0.4",".479",".496","-0.3","-0.1","-3","$1,500,000","Traded","5/74H6D1"
"9","Jesus Aguilar","32","2TM","124","493","-10","-2","-2","-5","-8","-26","-2.8","17","-9","-1.2",".477",".487","-0.7","-1.3","-4","$7,300,000","Free Agency","/D3H"
"10","Ryan Aguilar*","27","LAA","7","26","-2","0","0","-1","0","-4","-0.4","1","-3","-0.3",".440",".497","-0.2","-0.1","-2","","Free Agency","/9738"
"11","Nick Ahmed","32","ARI","17","54","0","0","0","-3","1","-2","-0.2","2","-1","-0.1",".485",".498","0.2","-0.2","2","$7,875,000","Traded","6/HD"
"12","Hanser Alberto","29","LAD","67","147","-7","-1","-1","1","1","-6","-0.6","5","-1","-0.2",".490",".496","-0.4","0.2","-2","$1,350,000","Free Agency","4H5/1D639"
"13","Ozzie Albies#","25","ATL","64","269","-3","0","2","-1","2","-1","-0.1","9","8","0.8",".498",".499","0.9","0.1","9","$5,000,000","Amateur Free Agent","4/H"
"14","Sergio Alcantara#","25","2TM","83","188","-7","0","0","-1","2","-6","-0.5","6","1","0.1",".493",".498","0.1","0.2","2","","Purchased","564H/D"
"15","Scott Alexander*","32","SFG","1","0","0","0","0","0","0","0","0.0","0","0","0.0",".500",".500","0.0","0.0","0","","Free Agency","1"
"16","Jorge Alfaro","29","SDP","77","268","-3","1","0","-3","4","-2","-0.1","9","8","0.7",".498",".499","1.0","0.1","11","$2,725,000","Purchased","2D/H"
